"","Hz","Frontal","Central","Parietal","Occipital","logFrontal","logCentral","logParietal","logOccipital","logHz"
"98",97.706,0.000521330275229358,0.000401136363636364,0.000326136363636364,0.000422433460076046,-7.55912679147267,-7.82120912952109,-8.02819497069477,-7.76947861451432,4.58196296965027
"99",98.703,0.000443348623853211,0.000323484848484848,0.000272272727272727,0.000390494296577947,-7.72115413611689,-8.03635828133393,-8.20870632021309,-7.84809719422539,4.59211534111429
"100",99.7,0.00037545871559633,0.00028219696969697,0.000237954545454545,0.000323574144486692,-7.88736203795408,-8.17290525674294,-8.34343088801795,-8.03608227558057,4.60216567696779
"101",100.697,0.000320642201834862,0.000246590909090909,0.000209318181818182,0.000281368821292776,-8.04518469253146,-8.30777983291393,-8.47165506263318,-8.17584421795573,4.61211600782096
"102",101.694,0.000277981651376147,0.000204545454545455,0.000176363636363636,0.000239923954372624,-8.18795544869596,-8.49472033556418,-8.64296257870527,-8.33518854161273,4.62196830426397
"103",102.691,0.000232110091743119,0.00016969696969697,0.000148863636363636,0.000190494296577947,-8.36829876547781,-8.68149624270751,-8.81247986325324,-8.56588830306908,4.63172447920934
"104",103.688,0.000202064220183486,0.000150757575757576,0.000127045454545455,0.000170342205323194,-8.50692498938904,-8.79983746983806,-8.97096562573339,-8.67770117173896,4.64138639012107
"105",104.685,0.00016651376146789,0.000121212121212121,0.000102272727272727,0.000140684410646388,-8.70043260050042,-9.01796847932873,-9.18786751612412,-8.86899139851568,4.65095584113722
"106",105.682,0.000140596330275229,9.81060606060606e-05,8.65909090909091e-05,0.000115209125475285,-8.86961767938901,-9.22946141342296,-9.35431572376179,-9.06876159864458,4.66043458509177
"107",106.679,0.000119495412844037,8.21969696969697e-05,6.81818181818182e-05,9.23954372623574e-05,-9.03223257357185,-9.40639212158204,-9.59333262423229,-9.2894329608134,4.66982432544161
"108",107.676,9.88532110091743e-05,6.85606060606061e-05,5.81818181818182e-05,8.17490494296578e-05,-9.22187452522147,-9.58779244385667,-9.75193765440893,-9.41185637602628,4.67912671810392
"109",108.673,8.0045871559633e-05,5.22727272727273e-05,4.59090909090909e-05,6.69201520912548e-05,-9.43291069312279,-9.85903578996529,-9.98884740148728,-9.6120104091158,4.68834337320884
"110",109.67,6.65137614678899e-05,3.97727272727273e-05,3.75e-05,5.47528517110266e-05,-9.6181016923447,-10.132329124965,-10.1911696249879,-9.81268110457795,4.69747585677212
"111",110.667,5.36697247706422e-05,3.59848484848485e-05,2.86363636363636e-05,3.76425855513308e-05,-9.83266149996752,-10.232412583522,-10.460833191937,-10.1873745540194,4.70652569229204
"112",111.664,4.22018348623853e-05,2.76515151515152e-05,2.06818181818182e-05,2.66159695817491e-05,-10.0730468577162,-10.4958300339741,-10.7862555923716,-10.5339991621046,4.7154943622748
"113",112.661,3.53211009174312e-05,2.15909090909091e-05,1.63636363636364e-05,2.54752851711027e-05,-10.2510300129116,-10.7432382072879,-11.0204489798724,-10.577801784763,4.72438330969204
"114",113.658,3.21100917431193e-05,1.89393939393939e-05,1.43181818181818e-05,2.28136882129278e-05,-10.3463401927159,-10.8742664696944,-11.153980372497,-10.6881498419318,4.7331939393742
"115",114.655,2.79816513761468e-05,1.59090909090909e-05,1.11363636363636e-05,2.16730038022814e-05,-10.483961570592,-11.0486198568391,-11.4052948007779,-10.7394431363194,4.74192761934295
"116",115.652,2.45412844036697e-05,1.32575757575758e-05,9.31818181818182e-06,1.97718631178707e-05,-10.6151537808633,-11.2309414136331,-11.5835430321842,-10.8312506855725,4.75058568208607
"117",116.649,1.9954128440367e-05,1.17424242424242e-05,7.72727272727273e-06,1.40684410646388e-05,-10.8220744966706,-11.3523022706374,-11.7707545742723,-11.1715764915097,4.75916942577746
"118",117.646,1.46788990825688e-05,8.33333333333333e-06,2.72727272727273e-06,9.1254752851711e-06,-11.1290995319655,-11.6952470217642,-12.8122084491005,-11.604440573806,4.76768011544537
"119",118.643,1.44495412844037e-05,6.81818181818182e-06,4.09090909090909e-06,1.1787072243346e-05,-11.1448478889337,-11.8959177172263,-12.4067433409923,-11.3485071996688,4.77611898409123
"120",119.64,1.19266055045872e-05,5.3030303030303e-06,2.27272727272727e-06,7.60456273764259e-06,-11.3367388967438,-12.1472321455072,-12.9945300058944,-11.7867621306,4.78448723376175
"121",120.637,9.86238532110092e-06,3.40909090909091e-06,1.81818181818182e-06,5.32319391634981e-06,-11.5267824996317,-12.5890648977863,-13.2176735572087,-12.1434370745387,4.79278603657644
"122",121.634,1.21559633027523e-05,4.92424242424242e-06,3.18181818181818e-06,2.69961977186312e-05,-11.3176907017731,-12.221340117661,-12.6580577692732,-10.5198145271126,4.80101653571296
"123",122.631,4.10550458715596e-05,2.38636363636364e-05,2.5e-05,0.000132319391634981,-10.1005968094845,-10.643154748731,-10.5966347330961,-8.93029192437947,4.80917984635212
"124",123.628,0.000194724770642202,0.000157575757575758,0.000148863636363636,0.00076615969581749,-8.54392342901387,-8.75560421486124,-8.81247986325324,-7.17411992977316,4.81727705658474
"125",124.625,9.86238532110092e-06,5.3030303030303e-06,3.63636363636364e-06,2.28136882129278e-05,-11.5267824996317,-12.1472321455072,-12.5245263766487,-10.6881498419318,4.825309228282
"126",125.622,8.94495412844037e-06,4.16666666666667e-06,2.27272727272727e-06,1.59695817490494e-05,-11.6244209691956,-12.3883942023241,-12.9945300058944,-11.0448247858706,4.83327739793118
"127",126.619,5.5045871559633e-06,1.51515151515152e-06,6.81818181818182e-07,4.56273764258555e-06,-12.1099287849773,-13.3999951140026,-14.1985028102204,-12.2975877543659,4.84118257743829
"128",127.616,5.27522935779817e-06,1.13636363636364e-06,6.81818181818182e-07,2.6615969581749e-06,-12.1524883993961,-13.6876771864544,-14.1985028102204,-12.8365842550986,4.84902575489932
"129",128.613,4.81651376146789e-06,3.78787878787879e-07,2.27272727272727e-07,1.52091254752852e-06,-12.2434601776018,-14.7862894751225,-15.2971150988885,-13.3962000430341,4.85680789534137
"130",129.61,4.12844036697248e-06,0,4.54545454545455e-07,1.52091254752852e-06,-12.3976108574291,-Inf,-14.6039679183285,-13.3962000430341,4.86452994143528
"131",130.607,3.89908256880734e-06,0,2.27272727272727e-07,1.52091254752852e-06,-12.454769271269,-Inf,-15.2971150988885,-13.3962000430341,4.87219281418085
"132",131.604,3.44036697247706e-06,0,2.27272727272727e-07,2.28136882129278e-06,-12.579932414223,-Inf,-15.2971150988885,-12.9907349349259,4.87979741356607
"133",132.601,3.44036697247706e-06,0,2.27272727272727e-07,1.52091254752852e-06,-12.579932414223,-Inf,-15.2971150988885,-13.3962000430341,4.88734461920146
"134",133.598,3.21100917431193e-06,0,0,1.52091254752852e-06,-12.64892528571,-Inf,-Inf,-13.3962000430341,4.89483529093061
"135",134.595,2.75229357798165e-06,0,0,1.52091254752852e-06,-12.8030759655372,-Inf,-Inf,-13.3962000430341,4.90227026941813
"136",135.592,2.52293577981651e-06,0,0,1.52091254752852e-06,-12.8900873425268,-Inf,-Inf,-13.3962000430341,4.90965037671575
"137",136.589,2.29357798165138e-06,0,0,1.52091254752852e-06,-12.9853975223312,-Inf,-Inf,-13.3962000430341,4.91697641680783
"138",137.586,2.06422018348624e-06,0,0,1.14068441064639e-06,-13.090758037989,-Inf,-Inf,-13.6838821154858,4.92424917613691
"139",138.583,1.60550458715596e-06,0,0,1.14068441064639e-06,-13.3420724662699,-Inf,-Inf,-13.6838821154858,4.93146942411039
"140",139.58,1.60550458715596e-06,0,0,1.14068441064639e-06,-13.3420724662699,-Inf,-Inf,-13.6838821154858,4.93863791358901
"141",140.577,9.1743119266055e-07,0,0,3.80228136882129e-07,-13.9016882542053,-Inf,-Inf,-14.7824944041539,4.94575538135787
"142",141.574,4.58715596330275e-07,0,0,1.14068441064639e-06,-14.5948354347653,-Inf,-Inf,-13.6838821154858,4.95282254858096
"143",142.571,4.58715596330275e-07,0,0,3.80228136882129e-07,-14.5948354347653,-Inf,-Inf,-14.7824944041539,4.95984012123961
"144",143.568,4.58715596330275e-07,0,0,0,-14.5948354347653,-Inf,-Inf,-Inf,4.9668087905557
"145",144.565,4.58715596330275e-07,0,0,0,-14.5948354347653,-Inf,-Inf,-Inf,4.97372923340028
"146",145.562,4.58715596330275e-07,0,0,0,-14.5948354347653,-Inf,-Inf,-Inf,4.98060211268804
"147",146.559,2.29357798165138e-07,0,0,0,-15.2879826153252,-Inf,-Inf,-Inf,4.98742807775844
"148",147.556,2.29357798165138e-07,0,0,0,-15.2879826153252,-Inf,-Inf,-Inf,4.99420776474382
"149",148.553,2.29357798165138e-07,0,0,0,-15.2879826153252,-Inf,-Inf,-Inf,5.00094179692516
"150",149.55,2.29357798165138e-07,0,0,0,-15.2879826153252,-Inf,-Inf,-Inf,5.00763078507596
"151",150.547,2.29357798165138e-07,0,0,0,-15.2879826153252,-Inf,-Inf,-Inf,5.01427532779463
"152",151.544,2.29357798165138e-07,0,0,0,-15.2879826153252,-Inf,-Inf,-Inf,5.02087601182598
"153",152.541,2.29357798165138e-07,0,0,0,-15.2879826153252,-Inf,-Inf,-Inf,5.02743341237214
